I. Autonomous Republic of Crimea,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Name,,,Center,,,Year,,,"Area
(km²)",,,Population,,Density,Councils (municipalities) ,,,,,,,,
9,Liubeshiv,,Liubeshiv,,,1450,36829,,25,,,,,,,,,,,,,,,,
10,Liuboml,,Liuboml,,,1481,43267,,29,,,,,,,,,,,,,,,,
11,Manevychi,,Manevychi,,,2265,57341,,25,,,,,,,,,,,,,,,,
12,Ratne,,Ratne,,,1437,52555,,37,,,,,,,,,,,,,,,,
13,Rozhyshche,,Rozhyshche,,,928,42945,,46,,,,,,,,,,,,,,,,
14,Stara Vyzhivka,,Stara Vyzhivka,,,1121,34135,,30,,,,,,,,,,,,,,,,
15,Turiisk,,Turiisk,,,1205,29066,,24,,,,,,,,,,,,,,,,
16,Shatsk,,Shatsk,,,759,18172,,24,,,,,,,,,,,,,,,,
IV. Dnipropetrovsk Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Apostolove,,Apostolove,,,1381,63981,,46,,,,,,,,,,,,,,,,
2,Vasylkivka,,Vasylkivka,,,1330,37149,,28,,,,,,,,,,,,,,,,
3,Verkhnodniprovsk,,Verkhnodniprovsk,,,1286,57078,,44,,,,,,,,,,,,,,,,
4,Dnipro,,Dnipro,,,1388,77868,,56,,,,,,,,,,,,,,,,
5,Kryvyi Rih,,Kryvyi Rih,,,1347,44030,,33,,,,,,,,,,,,,,,,
6,Krynychky,,Krynychky,,,1684,40372,,24,,,,,,,,,,,,,,,,
7,Mahdalynivka,,Mahdalynivka,,,1599,38050,,24,,,,,,,,,,,,,,,,
8,Mezhova,,Mezhova,,,1244,28499,,23,,,,,,,,,,,,,,,,
9,Nikopol,,Nikopol,,,1943,44518,,23,,,,,,,,,,,,,,,,
10,Novomoskovsk,,Novomoskovsk,,,1997,75185,,38,,,,,,,,,,,,,,,,
11,Pavlohrad,,Pavlohrad,,,1451,32672,,23,,,,,,,,,,,,,,,,
12,Petrykivka,,Petrykivka,,,928,26081,,28,,,,,,,,,,,,,,,,
13,Petropavlivka,,Petropavlivka,,,1248,35327,,28,,,,,,,,,,,,,,,,
14,Pokrovske,,Pokrovske,,,1216,41838,,34,,,,,,,,,,,,,,,,
15,Piatykhatky,,Piatykhatky,,,1683,53185,,32,,,,,,,,,,,,,,,,
16,Synelnykove,,Synelnykove,,,1648,41467,,25,,,,,,,,,,,,,,,,
17,Solone,,Solone,,,1738,42461,,24,,,,,,,,,,,,,,,,
18,Sofiyivka,,Sofiivka,,,1364,28526,,21,,,,,,,,,,,,,,,,
19,Tomakivka,,Tomakivka,,,1191,31795,,27,,,,,,,,,,,,,,,,
20,Tsarychanka,,Tsarychanka,,,903,30774,,34,,,,,,,,,,,,,,,,
21,Shyroke,,Shyroke,,,1239,31389,,25,,,,,,,,,,,,,,,,
22,Yurivka,,Yurivka,,,902,15760,,17,,,,,,,,,,,,,,,,
V. Donetsk Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Amvrosiivka,,Amvrosiivka,,,1455,55072,,38,,,,,,,,,,,,,,,,
2,Bakhmut,,Bakhmut,,,1687,53866,,32,,,,,,,,,,,,,,,,
3,Velyka Novosilka,,Velyka Novosilka,,,1901,49272,,26,,,,,,,,,,,,,,,,
4,Volnovakha,,Volnovakha,,,1848,92630,,50,,,,,,,,,,,,,,,,
5,Volodarske,,Nikolske,,,1221,31169,,26,,,,,,,,,,,,,,,,
6,Dobropillia,,Dobropillia,,,949,20482,,22,,,,,,,,,,,,,,,,
7,Kostiantynivka,,Kostiantynivka,,,1172,21032,,18,,,,,,,,,,,,,,,,
8,Pokrovsk,,Pokrovsk,,,1316,37384,,28,,,,,,,,,,,,,,,,
9,Lyman,,Lyman,,,1018,24781,,24,,,,,,,,,,,,,,,,
10,Marinka,,Marinka,,,1350,38861,,29,,,,,,,,,,,,,,,,
11,Novoazovsk,,Novoazovsk,,,1000,22883,,23,,,,,,,,,,,,,,,,
12,Oleksandrivka,,Oleksandrivka,,,1010,29241,,29,,,,,,,,,,,,,,,,
13,Pershotravneve,,Manhush,,,792,90434,,114,,,,,,,,,,,,,,,,
14,Sloviansk,,Sloviansk,,,1274,39165,,31,,,,,,,,,,,,,,,,
15,Starobesheve,,Starobesheve,,,1255,56048,,45,,,,,,,,,,,,,,,,
16,Telmanove,,Telmanove,,,1340,35058,,26,,,,,,,,,,,,,,,,
17,Shakhtarsk,,Shakhtarsk,,,1194,23570,,20,,,,,,,,,,,,,,,,
18,Yasynuvata,,Yasynuvata,,,809,30165,,37,,,,,,,,,,,,,,,,
VI. Zhytomyr Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Andrushivka,,Andrushivka,,,956,38785,,41,,,,,,,,,,,,,,,,
2,Baranivka,,Baranivka,,,1000,46001,,46,,,,,,,,,,,,,,,,
3,Berdychiv,,Berdychiv,,,865,34298,,40,,,,,,,,,,,,,,,,
4,Brusyliv,,Brusyliv,,,626,18142,,29,,,,,,,,,,,,,,,,
5,Khoroshiv,,Khoroshiv,,,870,38409,,44,,,,,,,,,,,,,,,,
6,Romaniv,,Romaniv,,,928,33282,,36,,,,,,,,,,,,,,,,
7,Yemilchyne,,Yemilchyne,,,2112,41707,,20,,,,,,,,,,,,,,,,
8,Zhytomyr,,Zhytomyr,,,1441,68449,,48,,,,,,,,,,,,,,,,
9,Korosten,,Korosten,,,1739,34030,,20,,,,,,,,,,,,,,,,
10,Korostyshiv,,Korostyshiv,,,974,43444,,45,,,,,,,,,,,,,,,,
11,Luhyny,,Luhyny,,,994,20823,,21,,,,,,,,,,,,,,,,
12,Liubar,,Liubar,,,757,31046,,41,,,,,,,,,,,,,,,,
13,Malyn,,Malyn,,,1485,51997,,35,,,,,,,,,,,,,,,,
14,Narodychi,,Narodychi,,,1284,11439,,9,,,,,,,,,,,,,,,,
15,Novohrad-Volynskyi,,Novohrad-Volynskyi,,,2098,52131,,25,,,,,,,,,,,,,,,,
16,Ovruch,,Ovruch,,,3225,67827,,21,,,,,,,,,,,,,,,,
17,Olevsk,,Olevsk,,,2248,46883,,21,,,,,,,,,,,,,,,,
18,Popilnia,,Popilnia,,,1037,36968,,36,,,,,,,,,,,,,,,,
19,Radomyshl,,Radomyshl,,,1297,42299,,33,,,,,,,,,,,,,,,,
20,Ruzhyn,,Ruzhyn,,,1002,34299,,34,,,,,,,,,,,,,,,,
21,Pulyny,,Pulyny,,,853,25921,,30,,,,,,,,,,,,,,,,
22,Cherniakhiv,,Cherniakhiv,,,850,33592,,40,,,,,,,,,,,,,,,,
23,Chudniv,,Chudniv,,,1037,42955,,41,,,,,,,,,,,,,,,,
VII. Zakarpattia Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Berehove,,Berehove,,,654,53841,,82,,,,,,,,,,,,,,,,
2,Velykyy Bereznyi,,Velykyi Bereznyi,,,810,28016,,35,,,,,,,,,,,,,,,,
3,Vynohradiv,,Vynohradiv,,,695,117863,,170,,,,,,,,,,,,,,,,
4,Volovets,,Volovets,,,544,25336,,47,,,,,,,,,,,,,,,,
5,Irshava,,Irshava,,,944,100881,,107,,,,,,,,,,,,,,,,
6,Mizhhirya,,Mizhhirya,,,1163,50057,,43,,,,,,,,,,,,,,,,
7,Mukacheve,,Mukachevo,,,997,101572,,102,,,,,,,,,,,,,,,,
8,Perechyn,,Perechyn,,,631,31790,,50,,,,,,,,,,,,,,,,
9,Rakhiv,,Rakhiv,,,1892,90811,,48,,,,,,,,,,,,,,,,
10,Svaliava,,Svaliava,,,676,55468,,82,,,,,,,,,,,,,,,,
11,Tiachiv,,Tiachiv,,,1818,172389,,95,,,,,,,,,,,,,,,,
12,Uzhhorod,,Uzhhorod,,,866,65514,,76,,,,,,,,,,,,,,,,
13,Khust,,Khust,,,998,96561,,97,,,,,,,,,,,,,,,,
VIII. Zaporizhzhia Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Berdiansk,,Berdiansk,,,1776,31631,,18,,,,,,,,,,,,,,,,
2,Vasylivka,,Vasylivka,,,1621,74384,,46,,,,,,,,,,,,,,,,
3,Velyka Bilozerka,,Velyka Bilozerka,,,469,9337,,20,,,,,,,,,,,,,,,,
4,Vesele,,Vesele,,,1129,25542,,23,,,,,,,,,,,,,,,,
5,Vilniansk,,Vilniansk,,,1288,50536,,39,,,,,,,,,,,,,,,,
6,Huliaipole,,Huliaipole,,,1300,34529,,27,,,,,,,,,,,,,,,,
7,Zaporizhia,,Zaporizhzhia,,,1462,54777,,37,,,,,,,,,,,,,,,,
8,Kamianka-Dniprovska,,Kamianka-Dniprovska,,,1179,45792,,39,,,,,,,,,,,,,,,,
9,Kuibysheve,,Kuibysheve,,,1335,27578,,21,,,,,,,,,,,,,,,,
10,Melitopol,,Melitopol,,,1787,56104,,31,,,,,,,,,,,,,,,,
11,Mykhailivka,,Mykhailivka,,,1067,33046,,31,,,,,,,,,,,,,,,,
12,Novomykolaivka,,Novomykolaivka,,,915,19564,,21,,,,,,,,,,,,,,,,
13,Orikhiv,,Orikhiv,,,1598,54183,,34,,,,,,,,,,,,,,,,
14,Polohy,,Polohy,,,1344,48018,,36,,,,,,,,,,,,,,,,
15,Pryazovske,,Pryazovske,,,1947,32909,,17,,,,,,,,,,,,,,,,
16,Prymorsk,,Prymorsk,,,1398,35223,,25,,,,,,,,,,,,,,,,
17,Rozivka,,Rozivka,,,610,11944,,20,,,,,,,,,,,,,,,,
18,Tokmak,,Tokmak,,,1442,27847,,19,,,,,,,,,,,,,,,,
19,Chernihivka,,Chernihivka,,,1200,22249,,19,,,,,,,,,,,,,,,,
20,Yakymivka,,Yakymivka,,,1856,37963,,20,,,,,,,,,,,,,,,,
IX. Ivano-Frankivsk Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bohorodchany,,Bohorodchany,,,799,70098,,88,,,,,,,,,,,,,,,,
2,Verkhovyna,,Verkhovyna,,,1254,30048,,24,,,,,,,,,,,,,,,,
3,Halych,,Halych,,,723,65674,,91,,,,,,,,,,,,,,,,
4,Horodenka,,Horodenka,,,747,60804,,81,,,,,,,,,,,,,,,,
5,Dolyna,,Dolyna,,,1248,71058,,57,,,,,,,,,,,,,,,,
6,Kalush,,Kalush,,,647,62705,,97,,,,,,,,,,,,,,,,
7,Kolomyia,,Kolomyia,,,1026,105788,,103,,,,,,,,,,,,,,,,
8,Kosiv,,Kosiv,,,903,90400,,100,,,,,,,,,,,,,,,,
9,Nadvirna,,Nadvirna,,,1294,113611,,88,,,,,,,,,,,,,,,,
10,Rohatyn,,Rohatyn,,,815,51063,,63,,,,,,,,,,,,,,,,
11,Rozhniativ,,Rozhniativ,,,1303,75513,,58,,,,,,,,,,,,,,,,
12,Sniatyn,,Sniatyn,,,602,68979,,115,,,,,,,,,,,,,,,,
13,Tysmenytsia,,Tysmenytsia,,,736,85269,,116,,,,,,,,,,,,,,,,
14,Tlumach,,Tlumach,,,684,52772,,77,,,,,,,,,,,,,,,,
X. Kyiv Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Baryshivka,,Baryshivka,,,958,41287,,43,,,,,,,,,,,,,,,,
2,Bila Tserkva,,Bila Tserkva,,,1277,55536,,43,,,,,,,,,,,,,,,,
3,Bohuslav,,Bohuslav,,,772,40602,,53,,,,,,,,,,,,,,,,
4,Boryspil,,Boryspil,,,1485,54633,,37,,,,,,,,,,,,,,,,
5,Borodianka,,Borodianka,,,934,57790,,62,,,,,,,,,,,,,,,,
6,Brovary,,Brovary,,,1188,77518,,65,,,,,,,,,,,,,,,,
7,Vasylkiv,,Vasylkiv,,,1184,70705,,60,,,,,,,,,,,,,,,,
8,Vyshhorod,,Vyshhorod,,,2031,72446,,36,,,,,,,,,,,,,,,,
9,Volodarka,,Volodarka,,,646,23384,,36,,,,,,,,,,,,,,,,
10,Zghurivka,,Zghurivka,,,763,22671,,30,,,,,,,,,,,,,,,,
11,Ivankiv,,Ivankiv,,,3616,35374,,10,,,,,,,,,,,,,,,,
12,Kaharlyk,,Kaharlyk,,,926,37791,,41,,,,,,,,,,,,,,,,
13,Kyievo-Sviatoshyn,,Kyiv,,,726,156015,,215,,,,,,,,,,,,,,,,
14,Makariv,,Makariv,,,1364,47915,,35,,,,,,,,,,,,,,,,
15,Myronivka,,Myronivka,,,904,40488,,45,,,,,,,,,,,,,,,,
16,Obukhiv,,Obukhiv,,,773,71606,,93,,,,,,,,,,,,,,,,
17,Pereiaslav-Khmelnytskyi,,Pereiaslav,,,1456,36892,,25,,,,,,,,,,,,,,,,
18,Poliske,,Krasiatychi,,,1288,7567,,6,,,,,,,,,,,,,,,,
19,Rokytne,,Rokytne,,,662,36400,,55,,,,,,,,,,,,,,,,
20,Skvyra,,Skvyra,,,980,44267,,45,,,,,,,,,,,,,,,,
21,Stavyshche,,Stavyshche,,,674,28327,,42,,,,,,,,,,,,,,,,
22,Tarashcha,,Tarashcha,,,758,36352,,48,,,,,,,,,,,,,,,,
23,Tetiiv,,Tetiiv,,,758,37098,,49,,,,,,,,,,,,,,,,
24,Fastiv,,Fastiv,,,897,37538,,42,,,,,,,,,,,,,,,,
25,Yahotyn,,Yahotyn,,,793,40822,,51,,,,,,,,,,,,,,,,
XI. Kirovohrad Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bobrynets,,Bobrynets,,,1496,31593,,21,,,,,,,,,,,,,,,,
2,Vilshanka,,Vilshanka,,,645,16401,,25,,,,,,,,,,,,,,,,
3,Haivoron,,Haivoron,,,695,43573,,63,,,,,,,,,,,,,,,,
4,Holovanivsk,,Holovanivsk,,,992,36852,,37,,,,,,,,,,,,,,,,
5,Dobrovelychkivka,,Dobrovelychkivka,,,1297,43097,,33,,,,,,,,,,,,,,,,
6,Dolynska,,Dolynska,,,1276,38263,,30,,,,,,,,,,,,,,,,
7,Znamianka,,Znamianka,,,1334,30078,,23,,,,,,,,,,,,,,,,
8,Kompaniivka,,Kompaniivka,,,967,18322,,19,,,,,,,,,,,,,,,,
9,Kropyvnytskyi,,Kropyvnytskyi,,,1557,37711,,24,,,,,,,,,,,,,,,,
10,Mala Vyska,,Mala Vyska,,,1248,51494,,41,,,,,,,,,,,,,,,,
11,Novhorodka,,Novhorodka,,,997,19009,,19,,,,,,,,,,,,,,,,
12,Novoarkhanhelsk,,Novoarkhanhelsk,,,1206,31513,,26,,,,,,,,,,,,,,,,
13,Novomyrhorod,,Novomyrhorod,,,1032,35807,,35,,,,,,,,,,,,,,,,
14,Novoukrainka,,Novoukrainka,,,1668,48807,,29,,,,,,,,,,,,,,,,
15,Oleksandrivka,,Oleksandrivka,,,1159,36108,,31,,,,,,,,,,,,,,,,
16,Oleksandriia,,Oleksandriia,,,1855,41156,,22,,,,,,,,,,,,,,,,
17,Onufriivka,,Onufriivka,,,889,21847,,25,,,,,,,,,,,,,,,,
18,Petrove,,Petrove,,,1195,28978,,24,,,,,,,,,,,,,,,,
19,Svitlovodsk,,Svitlovodsk,,,1213,16647,,14,,,,,,,,,,,,,,,,
20,Blahovishchenske,,Blahovishchenske,,,701,28819,,41,,,,,,,,,,,,,,,,
21,Ustynivka,,Ustynivka,,,942,16795,,18,,,,,,,,,,,,,,,,
XII. Luhansk Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Antratsyt,,Antratsyt,,,1662,36971,,22,,,,,,,,,,,,,,,,
2,Bilovodsk,,Bilovodsk,,,1597,27559,,17,,,,,,,,,,,,,,,,
3,Bilokurakyne,,Bilokurakyne,,,1436,23807,,17,,,,,,,,,,,,,,,,
4,Krasnodon,,Krasnodon,,,1386,32846,,24,,,,,,,,,,,,,,,,
5,Kreminna,,Kreminna,,,1627,51927,,32,,,,,,,,,,,,,,,,
6,Lutuhyne,,Lutuhyne,,,1057,73914,,70,,,,,,,,,,,,,,,,
7,Markivka,,Markivka,,,1166,19002,,16,,,,,,,,,,,,,,,,
8,Milove,,Milove,,,971,17415,,18,,,,,,,,,,,,,,,,
9,Novoaidar,,Novoaidar,,,1536,28451,,19,,,,,,,,,,,,,,,,
10,Novopskov,,Novopskov,,,1623,38322,,24,,,,,,,,,,,,,,,,
11,Perevalsk,,Perevalsk,,,807,87383,,108,,,,,,,,,,,,,,,,
12,Popasna,,Popasna,,,1325,50559,,38,,,,,,,,,,,,,,,,
13,Svatove,,Svatove,,,1739,43069,,25,,,,,,,,,,,,,,,,
14,Sverdlovsk,,Sverdlovsk,,,1132,14574,,13,,,,,,,,,,,,,,,,
15,Slovianoserbsk,,Slovianoserbsk,,,1113,62125,,56,,,,,,,,,,,,,,,,
16,Stanytsia-Luhanska,,Stanytsia Luhanska,,,1896,52762,,28,,,,,,,,,,,,,,,,
17,Starobilsk,,Starobilsk,,,1582,57755,,37,,,,,,,,,,,,,,,,
18,Troitske,,Troitske,,,1633,25704,,16,,,,,,,,,,,,,,,,
XIII. Lviv Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Brody,,Brody,,,1162,63545,,55,,,,,,,,,,,,,,,,
2,Busk,,Busk,,,850,50800,,60,,,,,,,,,,,,,,,,
3,Horodok,,Horodok,,,726,74206,,102,,,,,,,,,,,,,,,,
4,Drohobych,,Drohobych,,,1210,76276,,63,,,,,,,,,,,,,,,,
5,Zhydachiv,,Zhydachiv,,,996,80469,,81,,,,,,,,,,,,,,,,
6,Zhovkva,,Zhovkva,,,1294,108863,,84,,,,,,,,,,,,,,,,
7,Zolochiv,,Zolochiv,,,1097,74550,,68,,,,,,,,,,,,,,,,
8,Kamianka-Buzka,,Kamianka-Buzka,,,868,61869,,71,,,,,,,,,,,,,,,,
9,Mykolaiv,,Mykolaiv,,,698,66247,,95,,,,,,,,,,,,,,,,
10,Mostyska,,Mostyska,,,845,61892,,73,,,,,,,,,,,,,,,,
11,Peremyshliany,,Peremyshliany,,,918,47705,,52,,,,,,,,,,,,,,,,
12,Pustomyty,,Pustomyty,,,948,111872,,118,,,,,,,,,,,,,,,,
13,Radekhiv,,Radekhiv,,,1144,52457,,46,,,,,,,,,,,,,,,,
14,Sambir,,Sambir,,,934,74574,,80,,,,,,,,,,,,,,,,
15,Skole,,Skole,,,1471,50210,,34,,,,,,,,,,,,,,,,
16,Sokal,,Sokal,,,1574,98098,,62,,,,,,,,,,,,,,,,
17,Staryi Sambir,,Staryi Sambir,,,1245,82191,,66,,,,,,,,,,,,,,,,
18,Stryi,,Stryi,,,802,63322,,79,,,,,,,,,,,,,,,,
19,Turka,,Turka,,,1193,54769,,46,,,,,,,,,,,,,,,,
20,Yavoriv,,Yavoriv,,,1542,123546,,80,,,,,,,,,,,,,,,,
XIV. Mykolaiv Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Arbuzynka,,Arbuzynka,,,969,24783,,26,,,,,,,,,,,,,,,,
2,Bashtanka,,Bashtanka,,,1706,41434,,24,,,,,,,,,,,,,,,,
3,Berezanka,,Berezanka,,,1378,24988,,18,,,,,,,,,,,,,,,,
4,Bereznehuvate,,Bereznehuvate,,,1264,23053,,18,,,,,,,,,,,,,,,,
5,Bratske,,Bratske,,,1129,21226,,19,,,,,,,,,,,,,,,,
6,Veselynove,,Veselynove,,,1245,27044,,22,,,,,,,,,,,,,,,,
7,Voznesensk,,Voznesensk,,,1392,35907,,26,,,,,,,,,,,,,,,,
8,Vradiivka,,Vradiivka,,,801,20947,,26,,,,,,,,,,,,,,,,
9,Domanivka,,Domanivka,,,1458,28945,,20,,,,,,,,,,,,,,,,
10,Yelanets,,Yelanets,,,1018,18411,,18,,,,,,,,,,,,,,,,
11,Vitovka,,Mykolaiv,,,1460,54655,,37,,,,,,,,,,,,,,,,
12,Kazanka,,Kazanka,,,1349,24745,,18,,,,,,,,,,,,,,,,
13,Kryve Ozero,,Kryve Ozero,,,814,28494,,35,,,,,,,,,,,,,,,,
14,Mykolaiv,,Mykolaiv,,,1430,34980,,24,,,,,,,,,,,,,,,,
15,Novyi Buh,,Novyi Buh,,,1243,34167,,27,,,,,,,,,,,,,,,,
16,Nova Odesa,,Nova Odesa,,,1428,37385,,26,,,,,,,,,,,,,,,,
17,Ochakiv,,Ochakiv,,,1500,16916,,11,,,,,,,,,,,,,,,,
18,Pervomaisk,,Pervomaisk,,,1319,37050,,28,,,,,,,,,,,,,,,,
19,Snihurivka,,Snihurivka,,,1350,47538,,35,,,,,,,,,,,,,,,,
