Autonomous Republic of Crimea,,,,,,,,,
#,Name,Center,Year,"Area
(km2)",Population,Density,Councils (municipalities) ,,
Kropyvnytskyi Raion ,Kropyvnytskyi ,"227,4 ",Kirovohrad Oblast ,9716.9,437018,17,,,
Novoukrainka Raion ,Novoukrainka ,"16,7 ",Kirovohrad Oblast ,5198.9,138509,13,,,
Oleksandriia Raion ,Oleksandriia ,"79,3 ",Kirovohrad Oblast ,5409.7,223451,9,,,
Alchevsk Raion ,Alchevsk ,"107,4 ",Luhansk Oblast ,2006.1,437513,3,,,
Dovzhansk Raion ,Dovzhansk ,"64,2 ",Luhansk Oblast ,2139,206360,2,,,
Luhansk Raion ,Luhansk ,"403,9 ",Luhansk Oblast ,2147.4,529716,3,,,
Rovenky Raion ,Rovenky ,"46,7 ",Luhansk Oblast ,2087.6,295057,3,,,
Svatove Raion ,Svatove ,"17,1 ",Luhansk Oblast ,5329.1,78278,7,,,
Sievierodonetsk Raion ,Sievierodonetsk ,"102,4 ",Luhansk Oblast ,2685.7,369421,6,,,
Starobilsk Raion ,Starobilsk ,"16,9 ",Luhansk Oblast ,6930.6,126010,8,,,
Shchastia Raion ,Novoaidar ,"8,6 ",Luhansk Oblast ,3380.4,78967,5,,,
Drohobych Raion ,Drohobych ,76,Lviv Oblast ,1496.9,235405,5,,,
Zolochiv Raion ,Zolochiv ,"24,3 ",Lviv Oblast ,2913.4,160664,7,,,
Lviv Raion ,Lviv ,"724,3 ",Lviv Oblast ,4968.5,1146538,23,,,
Sambir Raion ,Sambir ,"34,8 ",Lviv Oblast ,3250.4,224126,11,,,
Stryi Raion ,Stryi ,"59,3 ",Lviv Oblast ,3840.5,322853,14,,,
Chervonohrad Raion ,Chervonohrad ,"67,2 ",Lviv Oblast ,2971.6,228945,7,,,
Yavoriv Raion ,Yavoriv ,15,Lviv Oblast ,2378.4,179219,6,,,
Bashtanka Raion ,Bashtanka ,"12,7 ",Mykolaiv Oblast ,6714.9,136739,12,,,
Voznesensk Raion ,Voznesensk ,"34,4 ",Mykolaiv Oblast ,6081,178336,13,,,
Mykolaiv Raion ,Mykolaiv ,"483,2 ",Mykolaiv Oblast ,7433.7,645562,19,,,
Pervomaisk Raion ,Pervomaisk ,"66,1 ",Mykolaiv Oblast ,3797.2,147757,8,,,
Berezivka Raion ,Berezivka ,"9,6 ",Odessa Oblast ,5551.6,106490,16,,,
Bilhorod-Dnistrovskyi Raion ,Bilhorod-Dnistrovskyi ,49,Odessa Oblast ,5220.6,198572,16,,,
Bolhrad Raion ,Bolhrad ,15,Odessa Oblast ,4559.4,146424,10,,,
Izmail Raion ,Izmail ,"71,8 ",Odessa Oblast ,3434.4,207333,6,,,
Odessa Raion ,Odessa ,"1017,7 ",Odessa Oblast ,3922.8,1382541,22,,,
Podilsk Raion ,Podilsk ,"40,4 ",Odessa Oblast ,7063.6,224163,12,,,
Rozdilna Raion ,Rozdilna ,"17,8 ",Odessa Oblast ,3564.4,102584,9,,,
Kremenchuk Raion ,Kremenchuk ,"220,1 ",Poltava Oblast ,6105.8,392341,12,,,
Lubny Raion ,Lubny ,"46,2 ",Poltava Oblast ,5476.9,187538,7,,,
Myrhorod Raion ,Myrhorod ,"39,1 ",Poltava Oblast ,6287.4,201728,17,,,
Poltava Raion ,Poltava ,"286,7 ",Poltava Oblast ,10849.6,589922,24,,,
Varash Raion ,Varash ,"42,4 ",Rivne Oblast ,3327.2,138599,8,,,
Dubno Raion ,Dubno ,38,Rivne Oblast ,3294.6,167728,19,,,
Rivne Raion ,Rivne ,"245,6 ",Rivne Oblast ,7218,629531,26,,,
Sarny Raion ,Sarny ,"29,2 ",Rivne Oblast ,6219,212598,11,,,
Konotop Raion ,Konotop ,"86,3 ",Sumy Oblast ,5190.6,198238,8,,,
Okhtyrka Raion ,Okhtyrka ,"48,5 ",Sumy Oblast ,3196.6,122146,9,,,
Romny Raion ,Romny ,"40,5 ",Sumy Oblast ,3882.7,109658,8,,,
Sumy Raion ,Sumy ,"263,5 ",Sumy Oblast ,6499.4,440618,16,,,
Shostka Raion ,Shostka ,75,Sumy Oblast ,5072.3,182792,10,,,
Kremenets Raion ,Kremenets ,"21,2 ",Ternopil Oblast ,2635.7,141675,8,,,
Ternopil Raion ,Ternopil ,"221,8 ",Ternopil Oblast ,6162.3,562142,25,,,
Chortkiv Raion ,Chortkiv ,29,Ternopil Oblast ,5022,326745,22,,,
Bohodukhiv Raion ,Bohodukhiv ,"15,2 ",Kharkiv Oblast ,4510.3,124936,5,,,
Izium Raion ,Izium ,"48,2 ",Kharkiv Oblast ,5910.2,175986,8,,,
Krasnohrad Raion ,Krasnohrad ,"20,9 ",Kharkiv Oblast ,4912.8,105948,6,,,
Kupiansk Raion ,Kupiansk ,"28,7 ",Kharkiv Oblast ,4618.1,133135,8,,,
Lozova Raion ,Lozova ,"64,7 ",Kharkiv Oblast ,4025.9,150400,5,,,
Kharkiv Raion ,Kharkiv ,"1443,2 ",Kharkiv Oblast ,2644.3,1745734,15,,,
Chuhuiv Raion ,Chuhuiv ,"32,5 ",Kharkiv Oblast ,4807,197695,9,,,
Beryslav Raion ,Beryslav ,"12,4 ",Kherson Oblast ,4764,95967,11,,,
Henichesk Raion ,Henichesk ,"19,5 ",Kherson Oblast ,6521.7,119901,4,,,
Kakhovka Raion ,Nova Kakhovka ,"45,4 ",Kherson Oblast ,6289.7,219783,15,,,
Skadovsk Raion ,Skadovsk ,"17,6 ",Kherson Oblast ,5248.5,124508,9,,,
Kherson Raion ,Kherson ,"289,1 ",Kherson Oblast ,3649.9,456548,10,,,
Kamianets-Podilskyi Raion ,Kamianets-Podilskyi ,99,Khmelnytskyi Oblast ,4521.2,284010,15,,,
Khmelnytskyi Raion ,Khmelnytskyi ,"273,9 ",Khmelnytskyi Oblast ,10755.8,679374,27,,,
Shepetivka Raion ,Shepetivka ,"41,2 ",Khmelnytskyi Oblast ,5346.7,280403,18,,,
Zvenyhorodka Raion ,Zvenyhorodka ,"17,1 ",Cherkasy Oblast ,5279.9,197509,17,,,
Zolotonosha Raion ,Zolotonosha ,"28,3 ",Cherkasy Oblast ,4249.1,138036,11,,,
Uman Raion ,Uman ,"83,1 ",Cherkasy Oblast ,4527.2,251408,12,,,
Cherkasy Raion ,Cherkasy ,"274,8 ",Cherkasy Oblast ,6882.1,591313,26,,,
Vyzhnytsia Raion ,Vyzhnytsia ,4,Chernivtsi Oblast ,1882,90354,9,,,
Dnistrovskyi Raion ,Kelmentsi ,"7,3 ",Chernivtsi Oblast ,2122.5,154440,10,,,
Chernivtsi Raion ,Chernivtsi ,"266,5 ",Chernivtsi Oblast ,4101.5,651772,33,,,
Koriukivka Raion ,Koriukivka ,"12,9 ",Chernihiv Oblast ,4578.7,88329,5,,,
Nizhyn Raion ,Nizhyn ,"71,1 ",Chernihiv Oblast ,7226.6,220640,17,,,
Novhorod-Siverskyi Raion ,Novhorod-Siverskyi ,13,Chernihiv Oblast ,4630.5,63670,4,,,
Pryluky Raion ,Pryluky ,"56,3 ",Chernihiv Oblast ,5214.2,152632,11,,,
Chernihiv Raion ,Chernihiv ,"288,3 ",Chernihiv Oblast ,10249,451430,20,,,
